agent,weighted_degree
1.0,0.6312208465515965
8.0,5.091740978755121
233.0,0.6272543143661183
320.0,3.7040036876397946
2.0,3.1893111306436386
5.0,4.680585551924073
267.0,1.5930429043584016
44.0,4.6158146183866435
46.0,2.775978396447612
4.0,2.829554676713591
55.0,2.8170681216093483
120.0,3.088998211405362
9.0,5.423763222381767
290.0,2.159808340341493
292.0,3.3905471173353288
185.0,3.9946900027299184
45.0,1.5386048727955477
236.0,2.164766268117259
111.0,2.1568491033561505
7.0,1.542964993301127
239.0,2.190798702953668
295.0,2.1657466659604636
326.0,2.7765213348700013
309.0,2.871968800872049
308.0,2.1666443079996984
11.0,5.9093441381627985
57.0,2.192298747801448
112.0,5.415637751366855
12.0,2.8234016269190327
400.0,1.22815765804654
353.0,4.8098476004841535
18.0,3.9024373014429603
310.0,1.5950620281975938
383.0,5.238207582836723
15.0,4.633149237177164
113.0,4.8038816125235275
242.0,5.901597578788538
297.0,3.1395387025347206
311.0,4.64726901555202
329.0,3.089863878556666
355.0,2.8679677211027683
356.0,3.175168145389641
6.0,1.2348991113917718
10.0,1.2769067726744552
87.0,3.7145717023854297
13.0,1.544969938225359
20.0,1.63160283851803
313.0,4.640287253428244
115.0,1.5990544448825144
328.0,4.682168700444823
277.0,2.2133171713613766
385.0,6.566366898016989
90.0,4.323836617602329
300.0,1.5902672161808795
158.0,4.699891470790632
322.0,3.0976279880752164
14.0,3.0922239423592286
314.0,3.127927325639718
157.0,1.5427293142602436
275.0,2.217750035135027
344.0,1.6024135838205067
16.0,1.5433271914662932
160.0,4.757566690082093
387.0,4.663654770618541
19.0,2.866869924430314
24.0,2.164787057853646
386.0,1.5405774677433668
159.0,3.1552808932091487
274.0,1.724417511341632
327.0,1.543350181514091
92.0,2.8073351200866163
388.0,3.10239251941732
321.0,4.788046095446589
26.0,1.2344769472257657
371.0,0.6186955902525128
316.0,3.0866281698518634
17.0,1.5433271914662932
315.0,4.462504192665459
330.0,3.394356469907347
243.0,1.5462614020885332
305.0,4.153914921729612
137.0,1.5994302838349492
28.0,1.259723120716987
279.0,1.5955527263746911
278.0,0.6164751796066226
293.0,4.379822688525265
155.0,3.091226011990857
244.0,4.474510931457502
359.0,1.545315759369534
94.0,0.6327139520147088
319.0,2.1579351007874106
147.0,2.565480183518171
162.0,1.5760852586804353
318.0,2.243193659949194
391.0,1.3765815551834275
324.0,1.544560864680669
161.0,1.58918552777669
390.0,2.4059808170033308
246.0,2.8611290167832326
156.0,1.5439720078569878
384.0,1.5405774677433668
393.0,3.174269916421939
190.0,3.4728705778201707
296.0,2.1779620854060675
333.0,1.895562989085688
21.0,1.2352670859122843
91.0,1.851169541060522
245.0,3.647712949078651
247.0,2.5409571063720593
294.0,1.2357299576401404
52.0,1.8746855171707
317.0,1.2818811563177412
83.0,4.122895157150317
106.0,2.177753959258527
352.0,1.6084003246323393
192.0,3.1695153760577544
53.0,4.341653535738148
250.0,2.4766274073133725
169.0,4.0164377723385325
306.0,1.6078367764748682
396.0,2.8396124734947
107.0,2.183876283344075
376.0,2.2499551051430435
397.0,1.5417953544362646
150.0,2.29285438315313
54.0,1.5417953544362646
191.0,2.8524172966446173
126.0,3.170406950571093
93.0,3.090239826811171
193.0,3.194986063750261
194.0,1.5940879743447616
240.0,2.1826916203476405
398.0,0.6911679350191239
172.0,2.472931242259655
217.0,5.260754745110612
399.0,0.6911679350191239
128.0,1.276622544613206
249.0,0.6171618613446805
241.0,1.541849405795623
170.0,2.256447011347572
394.0,0.6875940511455837
264.0,3.0787865231809826
196.0,3.143722356570429
85.0,3.420560782309426
338.0,5.293225465331127
152.0,2.8721836764471425
220.0,1.5406843563889885
253.0,2.1641463099252167
331.0,1.8995363588387222
218.0,4.419222489204468
265.0,2.7969186466549463
50.0,2.512445620325754
154.0,1.6014592952980924
198.0,6.169092837327764
96.0,1.8532717926388727
88.0,1.5450771221488813
339.0,4.6943176798478845
72.0,6.242144017810862
252.0,1.2349614050889794
186.0,2.780840928632964
379.0,4.041720278439783
280.0,3.717314738898861
341.0,2.807429684184113
174.0,2.217527415408594
266.0,2.801723857166777
323.0,0.6176711085137115
98.0,0.6169737633406688
201.0,3.0853481939771945
200.0,4.734465106945492
177.0,1.5997269814308348
362.0,1.2813767216403258
281.0,4.635783625682768
342.0,4.6662644511586695
175.0,2.2186005511188664
73.0,4.648932055415569
263.0,1.236061697719105
283.0,4.643407628044128
51.0,2.821206108721888
204.0,3.136984974146479
132.0,1.547652055415569
199.0,3.144565349103189
282.0,2.784741903698995
335.0,1.2563144109128723
74.0,3.0878509129852247
188.0,0.986737295187368
219.0,2.178330110736501
285.0,1.5508016361711336
354.0,2.590159568622345
286.0,1.5508016361711336
348.0,6.214415046193043
25.0,3.152009261245457
202.0,1.596607083251969
269.0,3.0830630982808787
343.0,4.741946277974509
48.0,1.5455171340321645
179.0,2.1677022558802337
176.0,1.600800117141107
189.0,0.6176259434079762
222.0,2.163116817954145
254.0,4.656070103575769
75.0,1.55064
255.0,2.1645757065640385
337.0,0.6176127349692265
340.0,1.2358778217593605
256.0,3.1523676460031718
182.0,1.8520527297906626
221.0,1.8975155198542577
346.0,2.21487918148929
248.0,0.8163229891751363
206.0,2.2111266085818926
258.0,2.165396832915886
345.0,1.5980908265286726
77.0,1.540198857569656
259.0,2.2281082913852273
374.0,1.546989634990454
211.0,1.5486948525838216
164.0,3.4944272563447774
365.0,1.8794401813731596
209.0,0.618238887971055
349.0,3.0926450797356626
357.0,1.5999188811884022
166.0,2.2265449981734133
366.0,0.6309697610704035
99.0,5.5385593338434
367.0,2.1774850842383646
351.0,2.783057765168584
187.0,0.6176259434079762
167.0,3.057598900050426
347.0,1.8525877810600115
369.0,1.5465153231679611
304.0,1.8944818521299966
203.0,2.833457975873453
210.0,2.780388337464797
131.0,1.5118342751332623
257.0,1.5422591205755083
272.0,1.540155720977054
262.0,0.617999765957564
350.0,1.5460851314460955
110.0,3.080103338395017
139.0,4.448078249187683
173.0,1.0191166370434364
171.0,0.6172252633326218
100.0,1.2283075032473332
165.0,1.2783386745519305
183.0,2.163998183573831
136.0,2.5120643210328852
89.0,1.544718959335851
184.0,1.5465029466186169
67.0,4.018908532008991
140.0,4.701339087824964
284.0,1.2377522687085414
42.0,2.2211756369986624
142.0,2.1663218377105915
205.0,1.2368508926214838
68.0,1.5461717255053318
213.0,2.4716996211870272
102.0,2.769820234469173
43.0,0.6153433660176864
141.0,1.5477534084219942
145.0,0.6185684292885975
103.0,1.5415127312218402
268.0,1.8492706047800236
168.0,0.6286216549835001
368.0,1.2364978168790168
70.0,1.8782600620757455
270.0,2.507704765812739
71.0,2.2364543873706952
138.0,1.2350777058581033
334.0,1.5951317056992151
215.0,0.6181849007082844
273.0,4.36814475073608
276.0,3.089139610916735
223.0,2.1637193656129563
58.0,1.5457628444975402
225.0,1.9000921381864069
228.0,2.820070495643313
230.0,1.540320956650668
