timestamp,agent_a,agent_b,intensity,transmission_risk,transmission_occurred
3,3,4,1.5401990839519037,0.18482389007422845,0
4,1,8,0.6312208465515965,0.07574650158619158,1
4,3,215,1.5401990839519037,0.18482389007422845,0
5,3,90,1.5401990839519037,0.18482389007422845,0
5,233,320,0.6272543143661183,0.0752705177239342,0
6,2,5,1.5946555653218193,0.1913586678386183,0
6,233,320,0.6272543143661183,0.0752705177239342,1
7,233,234,0.6272543143661183,0.0752705177239342,0
8,2,4,1.5946555653218193,0.1913586678386183,0
8,44,55,1.5386048727955477,0.1846325847354657,0
8,109,110,0.6179254578306184,0.07415105493967421,0
8,233,236,0.6272543143661183,0.0752705177239342,0
8,320,111,1.5383746866368382,0.18460496239642057,0
9,2,5,1.5946555653218193,0.1913586678386183,1
9,8,11,1.5930429043584016,0.19116514852300817,0
9,44,46,1.5386048727955477,0.1846325847354657,0
9,109,112,0.6179254578306184,0.07415105493967421,0
9,233,236,0.6272543143661183,0.0752705177239342,0
9,320,111,1.5383746866368382,0.18460496239642057,0
10,8,9,1.5930429043584016,0.19116514852300817,0
10,44,55,1.5386048727955477,0.1846325847354657,0
10,109,112,0.6179254578306184,0.07415105493967421,0
10,233,236,0.6272543143661183,0.0752705177239342,0
10,320,185,1.5383746866368382,0.18460496239642057,0
11,8,9,1.5930429043584016,0.17204863367070736,0
11,44,45,1.5386048727955477,0.16616932626191913,0
11,109,112,0.6179254578306184,0.0667359494457068,0
11,320,185,1.5383746866368382,0.16614446615677853,0
12,5,7,1.5429649933011267,0.16664021927652167,0
12,8,267,1.5930429043584016,0.17204863367070736,1
12,44,46,1.5386048727955477,0.16616932626191913,1
12,109,112,0.6179254578306184,0.0667359494457068,0
12,233,234,0.6272543143661183,0.06774346595154078,0
12,320,185,1.5383746866368382,0.16614446615677853,0
13,5,6,1.5429649933011267,0.16664021927652167,0
13,109,111,0.6179254578306184,0.0667359494457068,0
13,233,236,0.6272543143661183,0.06774346595154078,0
13,320,185,1.5383746866368382,0.16614446615677853,0
14,2,4,1.5946555653218193,0.17222280105475646,0
14,5,7,1.5429649933011267,0.16664021927652167,0
14,8,11,1.5930429043584016,0.17204863367070736,0
14,109,111,0.6179254578306184,0.0667359494457068,0
14,233,234,0.6272543143661183,0.06774346595154078,0
14,320,111,1.5383746866368382,0.16614446615677853,0
15,2,4,1.5946555653218193,0.17222280105475646,1
15,5,6,1.5429649933011267,0.16664021927652167,0
15,8,11,1.5930429043584016,0.17204863367070736,0
15,44,55,1.5386048727955477,0.16616932626191913,1
15,109,110,0.6179254578306184,0.0667359494457068,0
15,233,234,0.6272543143661183,0.06774346595154078,0
15,320,321,1.5383746866368382,0.16614446615677853,0
16,5,6,1.5429649933011267,0.16664021927652167,0
16,8,11,1.5930429043584016,0.17204863367070736,0
16,109,112,0.6179254578306184,0.0667359494457068,0
16,233,236,0.6272543143661183,0.06774346595154078,0
16,267,269,1.5471849071516444,0.1670959699723776,0
16,320,111,1.5383746866368382,0.16614446615677853,0
17,5,120,1.5429649933011267,0.16664021927652167,1
17,8,11,1.5930429043584016,0.17204863367070736,0
17,109,112,0.6179254578306184,0.0667359494457068,0
17,267,269,1.5471849071516444,0.1670959699723776,0
17,320,111,1.5383746866368382,0.16614446615677853,0
18,5,7,1.5429649933011267,0.16664021927652167,0
18,8,9,1.5930429043584016,0.17204863367070736,1
18,46,290,0.6186867618260322,0.06681817027721149,1
18,109,112,0.6179254578306184,0.0667359494457068,0
18,267,270,1.5471849071516444,0.1670959699723776,0
18,320,185,1.5383746866368382,0.16614446615677853,0
19,4,7,1.5436238892397145,0.16671138003788916,0
19,5,7,1.5429649933011267,0.16664021927652167,0
19,44,45,1.5386048727955477,0.16616932626191913,0
19,55,18,0.6392316244069004,0.06903701543594525,0
19,109,112,0.6179254578306184,0.0667359494457068,0
19,120,122,1.5460332181042347,0.16697158755525734,0
19,320,321,1.5383746866368382,0.16614446615677853,0
20,4,7,1.5436238892397145,0.16671138003788916,0
20,5,6,1.5429649933011267,0.16664021927652167,0
20,46,48,0.6186867618260322,0.06681817027721149,0
20,55,57,0.6392316244069004,0.06903701543594525,0
20,109,112,0.6179254578306184,0.0667359494457068,0
20,120,236,1.5460332181042347,0.16697158755525734,0
