timestamp,agent_id,event_type,cultural_state,source_id,guild,narrative_coherence,strain_id
111,140,disenchantment,R,-1,Iconoclastes,0.4,RF-005
111,258,disenchantment,R,-1,Scribes,0.5916666666666667,PR-004
111,431,disenchantment,R,-1,Hérauts,0.5916666666666667,PR-004
111,731,disenchantment,R,-1,Iconoclastes,0.5916666666666667,PR-004
112,97,disenchantment,R,-1,Scribes,0.5916666666666667,PR-004
112,847,disenchantment,R,-1,Scribes,0.4,RF-005
113,383,disenchantment,R,-1,Scribes,0.4,RF-005
113,652,disenchantment,R,-1,Hérauts,0.5916666666666667,PR-004
113,654,disenchantment,R,-1,Scribes,0.5916666666666667,PR-004
113,720,disenchantment,R,-1,Iconoclastes,0.5916666666666667,PR-004
114,985,disenchantment,R,-1,Anachorètes,0.4,RF-005
115,178,disenchantment,R,-1,Iconoclastes,0.5916666666666667,PR-004
115,318,disenchantment,R,-1,Hérauts,0.4,RF-005
115,628,disenchantment,R,-1,Anachorètes,0.5916666666666667,PR-004
116,607,disenchantment,R,-1,Scribes,0.5916666666666667,PR-004
116,811,disenchantment,R,-1,Colporteurs,0.5916666666666667,PR-004
117,678,disenchantment,R,-1,Hérauts,0.4,MV-008
117,696,disenchantment,R,-1,Scribes,0.4,RF-005
118,179,disenchantment,R,-1,Colporteurs,0.5916666666666667,PR-004
118,196,disenchantment,R,-1,Iconoclastes,0.4,RF-005
118,202,disenchantment,R,-1,Iconoclastes,0.4,RF-005
118,288,disenchantment,R,-1,Colporteurs,0.4,RF-005
118,998,disenchantment,R,-1,Scribes,0.5916666666666667,PR-004
119,100,disenchantment,R,-1,Scribes,0.5916666666666667,PR-004
119,595,disenchantment,R,-1,Colporteurs,0.4,RF-005
119,673,disenchantment,R,-1,Colporteurs,0.5916666666666667,PR-004
120,157,disenchantment,R,-1,Scribes,0.4,RF-005
120,176,disenchantment,R,-1,Hérauts,0.5916666666666667,PR-004
120,363,disenchantment,R,-1,Anachorètes,0.4,RF-005
121,26,disenchantment,R,-1,Hérauts,0.4,RF-005
121,156,disenchantment,R,-1,Hérauts,0.4,RF-005
121,641,disenchantment,R,-1,Anachorètes,0.5916666666666667,PR-004
122,583,disenchantment,R,-1,Colporteurs,0.5916666666666667,PR-004
122,929,disenchantment,R,-1,Iconoclastes,0.4,RF-005
123,276,disenchantment,R,-1,Colporteurs,0.5916666666666667,PR-004
123,655,disenchantment,R,-1,Anachorètes,0.5916666666666667,PR-004
123,671,disenchantment,R,-1,Anachorètes,0.5916666666666667,PR-004
124,239,disenchantment,R,-1,Anachorètes,0.5916666666666667,PR-004
124,443,disenchantment,R,-1,Hérauts,0.5916666666666667,PR-004
125,282,disenchantment,R,-1,Iconoclastes,0.4,RF-005
125,905,disenchantment,R,-1,Iconoclastes,0.5916666666666667,PR-004
126,181,disenchantment,R,-1,Anachorètes,0.4,RF-005
126,199,disenchantment,R,-1,Colporteurs,0.4,RF-005
126,574,disenchantment,R,-1,Colporteurs,0.4,RF-005
127,314,disenchantment,R,-1,Anachorètes,0.4,RF-005
127,487,disenchantment,R,-1,Anachorètes,0.4,RF-005
128,862,disenchantment,R,-1,Colporteurs,0.5916666666666667,PR-004
129,656,disenchantment,R,-1,Anachorètes,0.4,MV-007
129,991,disenchantment,R,-1,Iconoclastes,0.5916666666666667,PR-004
130,270,disenchantment,R,-1,Anachorètes,0.4,RF-005
130,427,disenchantment,R,-1,Iconoclastes,0.5916666666666667,PR-004
131,724,disenchantment,R,-1,Hérauts,0.5916666666666667,PR-004
131,775,disenchantment,R,-1,Iconoclastes,0.4,RF-005
132,264,disenchantment,R,-1,Anachorètes,0.5916666666666667,PR-004
132,710,disenchantment,R,-1,Anachorètes,0.5916666666666667,PR-004
