timestamp,agent_a,agent_b,intensity,transmission_risk,transmission_occurred
38,664,666,6.209999999999999,0.7451999999999999,1
38,677,680,5.175,0.621,0
38,825,877,5.175,0.621,1
38,827,829,5.175,0.621,1
38,914,916,5.175,0.621,1
38,918,920,6.209999999999999,0.7451999999999999,1
38,947,207,5.175,0.621,1
38,951,854,6.209999999999999,0.7451999999999999,1
38,953,954,5.175,0.621,1
38,960,962,5.175,0.621,1
39,32,35,6.209999999999999,0.7451999999999999,1
39,45,48,2.484,0.29808,0
39,46,48,6.209999999999999,0.7451999999999999,1
39,54,57,5.175,0.621,1
39,59,60,5.175,0.621,0
39,107,108,2.07,0.24839999999999998,0
39,117,10,2.07,0.24839999999999998,0
39,164,167,5.175,0.621,0
39,182,220,5.175,0.621,1
39,184,186,6.209999999999999,0.7451999999999999,1
39,206,209,2.07,0.24839999999999998,1
39,216,150,6.209999999999999,0.7451999999999999,0
39,243,245,6.209999999999999,0.7451999999999999,1
39,258,259,5.175,0.621,0
39,343,344,5.175,0.621,0
39,375,376,5.175,0.621,1
39,415,875,1.875,0.22499999999999998,0
39,446,449,5.175,0.621,0
39,466,111,5.175,0.621,1
39,499,500,1.875,0.22499999999999998,0
39,541,58,6.209999999999999,0.7451999999999999,1
39,556,599,5.175,0.621,1
39,631,633,6.209999999999999,0.7451999999999999,1
39,661,549,6.209999999999999,0.7451999999999999,1
39,662,697,5.175,0.621,1
39,677,679,5.175,0.621,0
39,730,733,2.07,0.24839999999999998,1
39,759,82,6.209999999999999,0.7451999999999999,1
39,761,763,5.175,0.621,1
39,777,778,2.484,0.29808,1
39,780,781,2.484,0.29808,0
39,808,809,5.175,0.621,1
39,826,828,2.07,0.24839999999999998,0
39,913,915,6.209999999999999,0.7451999999999999,0
39,918,921,6.209999999999999,0.7451999999999999,1
40,30,346,2.484,0.29808,0
40,46,849,6.209999999999999,0.7451999999999999,1
40,54,353,5.175,0.621,0
40,59,62,5.175,0.621,1
40,73,75,2.484,0.29808,0
40,107,110,2.07,0.24839999999999998,0
40,120,923,6.209999999999999,0.7451999999999999,1
40,121,123,6.209999999999999,0.7451999999999999,1
40,164,167,5.175,0.621,0
40,165,168,6.209999999999999,0.7451999999999999,1
40,166,169,5.175,0.621,1
40,184,187,6.209999999999999,0.7451999999999999,1
40,185,884,2.484,0.29808,1
40,216,217,6.209999999999999,0.7451999999999999,0
40,218,219,2.07,0.24839999999999998,1
40,258,260,5.175,0.621,0
40,292,287,6.209999999999999,0.7451999999999999,1
40,343,344,5.175,0.621,1
40,345,348,5.175,0.621,1
40,373,374,5.175,0.621,1
40,375,477,5.175,0.621,1
40,415,396,1.875,0.22499999999999998,0
40,446,447,5.175,0.621,0
40,466,469,5.175,0.621,0
40,468,470,5.175,0.621,0
40,499,501,1.875,0.22499999999999998,1
40,529,408,5.175,0.621,0
40,541,544,6.209999999999999,0.7451999999999999,0
40,551,552,6.209999999999999,0.7451999999999999,1
40,554,986,5.175,0.621,1
40,556,559,5.175,0.621,1
40,635,637,5.175,0.621,1
40,664,315,6.209999999999999,0.7451999999999999,0
40,665,667,5.175,0.621,1
40,666,885,6.209999999999999,0.7451999999999999,0
40,677,679,5.175,0.621,1
40,730,732,2.07,0.24839999999999998,1
40,759,783,6.209999999999999,0.7451999999999999,0
40,780,783,2.484,0.29808,1
40,805,806,5.175,0.621,1
40,808,810,5.175,0.621,1
40,826,828,2.07,0.24839999999999998,0
40,854,856,6.209999999999999,0.7451999999999999,1
40,913,332,6.209999999999999,0.7451999999999999,0
40,945,946,6.209999999999999,0.7451999999999999,0
40,953,955,5.175,0.621,0
40,954,957,5.175,0.621,0
40,962,964,2.07,0.24839999999999998,0
41,35,338,6.209999999999999,0.7451999999999999,1
41,48,336,2.484,0.29808,1
41,54,353,5.175,0.621,0
41,58,61,6.209999999999999,0.7451999999999999,1
41,82,83,6.209999999999999,0.7451999999999999,1
41,107,110,2.07,0.24839999999999998,0
41,111,112,5.175,0.621,1
41,117,118,2.07,0.24839999999999998,0
41,121,77,6.209999999999999,0.7451999999999999,1
41,166,167,5.175,0.621,0
41,207,208,5.175,0.621,1
41,215,217,6.209999999999999,0.7451999999999999,1
41,216,887,6.209999999999999,0.7451999999999999,1
41,242,544,6.209999999999999,0.7451999999999999,1
41,243,360,6.209999999999999,0.7451999999999999,0
41,245,748,6.209999999999999,0.7451999999999999,1
41,258,259,5.175,0.621,0
41,292,293,6.209999999999999,0.7451999999999999,1
41,343,346,5.175,0.621,0
41,345,347,5.175,0.621,0
41,376,714,5.175,0.621,1
41,415,396,1.875,0.22499999999999998,0
41,446,449,5.175,0.621,0
41,465,467,5.175,0.621,1
41,468,712,5.175,0.621,0
41,499,502,1.875,0.22499999999999998,1
41,631,634,6.209999999999999,0.7451999999999999,1
41,633,636,6.209999999999999,0.7451999999999999,0
41,635,692,5.175,0.621,0
41,666,668,6.209999999999999,0.7451999999999999,0
41,697,698,5.175,0.621,1
41,761,764,5.175,0.621,1
41,763,765,2.07,0.24839999999999998,1
41,778,493,6.209999999999999,0.7451999999999999,1
41,780,283,2.484,0.29808,1
41,809,42,2.07,0.24839999999999998,1
41,826,828,2.07,0.24839999999999998,0
41,877,878,5.175,0.621,1
41,914,915,5.175,0.621,1
41,920,922,6.209999999999999,0.7451999999999999,1
41,948,70,2.484,0.29808,0
41,951,952,6.209999999999999,0.7451999999999999,1
41,953,956,5.175,0.621,0
41,954,955,5.175,0.621,1
41,960,961,5.175,0.621,0
41,962,965,2.07,0.24839999999999998,1
42,30,346,2.484,0.29808,0
42,35,772,6.209999999999999,0.7451999999999999,1
42,58,60,6.209999999999999,0.7451999999999999,1
42,62,229,5.175,0.621,0
42,73,74,2.484,0.29808,0
42,82,84,6.209999999999999,0.7451999999999999,1
42,107,108,2.07,0.24839999999999998,0
42,111,941,5.175,0.621,0
42,165,681,6.209999999999999,0.7451999999999999,1
42,186,188,6.209999999999999,0.7451999999999999,1
42,187,189,6.209999999999999,0.7451999999999999,1
42,209,210,5.175,0.621,1
42,218,221,2.07,0.24839999999999998,1
42,241,694,2.484,0.29808,0
42,242,244,6.209999999999999,0.7451999999999999,1
42,245,771,6.209999999999999,0.7451999999999999,1
42,345,346,5.175,0.621,1
42,348,349,2.07,0.24839999999999998,0
42,376,858,5.175,0.621,1
42,415,418,1.875,0.22499999999999998,1
42,468,469,5.175,0.621,0
42,477,478,5.175,0.621,1
42,559,562,2.07,0.24839999999999998,0
42,599,602,5.175,0.621,1
42,632,170,5.175,0.621,0
42,633,636,6.209999999999999,0.7451999999999999,1
42,635,692,5.175,0.621,0
42,637,645,5.175,0.621,0
42,665,668,5.175,0.621,1
42,666,669,6.209999999999999,0.7451999999999999,1
42,732,734,5.175,0.621,1
42,733,735,2.07,0.24839999999999998,0
42,778,909,6.209999999999999,0.7451999999999999,1
42,783,785,2.484,0.29808,0
42,810,812,5.175,0.621,1
42,826,828,2.07,0.24839999999999998,0
42,827,828,5.175,0.621,1
42,829,830,2.07,0.24839999999999998,1
42,849,850,6.209999999999999,0.7451999999999999,1
42,856,859,2.484,0.29808,1
42,884,886,2.484,0.29808,1
42,913,332,6.209999999999999,0.7451999999999999,1
42,923,926,6.209999999999999,0.7451999999999999,1
42,944,25,5.175,0.621,0
42,947,949,5.175,0.621,1
42,953,956,5.175,0.621,1
42,962,964,2.07,0.24839999999999998,0
42,986,989,5.175,0.621,1
43,42,44,2.07,0.24839999999999998,1
43,45,47,2.484,0.29808,0
43,61,64,6.209999999999999,0.7451999999999999,1
43,73,75,2.484,0.29808,1
43,77,80,6.209999999999999,0.7451999999999999,1
43,82,249,6.209999999999999,0.7451999999999999,1
43,107,109,2.07,0.24839999999999998,0
43,111,113,5.175,0.621,1
43,112,115,2.07,0.24839999999999998,0
43,117,10,2.07,0.24839999999999998,0
43,121,122,6.209999999999999,0.7451999999999999,0
43,123,213,6.209999999999999,0.7451999999999999,1
43,165,788,6.209999999999999,0.7451999999999999,1
43,168,265,2.484,0.29808,0
43,169,171,5.175,0.621,0
43,219,814,5.175,0.621,0
43,243,246,6.209999999999999,0.7451999999999999,1
43,258,259,5.175,0.621,1
43,283,284,2.484,0.29808,0
